CustomerID,CustomerName,Gender,Age,Email,Phone,City,State,JoinDate,CustomerSegment
1,Ananya Thakur,Female,32,ananya1@gmail.com,9249827706,Mumbai,Maharashtra,2023-05-17,Silver
2,Sneha Yadav,Female,19,sneha2@gmail.com,9200604502,Jaipur,Rajasthan,2022-03-07,Regular
3,Amit Gupta,Male,44,amit3@gmail.com,9336696312,Jaipur,Rajasthan,2025-01-21,Regular
4,Aditya Yadav,Male,35,aditya4@gmail.com,9266944844,Delhi,Delhi,2023-11-28,Regular
5,Vivaan Yadav,Male,40,vivaan5@gmail.com,9469319644,Kolkata,West Bengal,2022-07-18,Silver
6,Amit Singh,Male,23,amit6@gmail.com,9692749116,Gaya,Bihar,2024-02-15,Regular
7,Ananya Singh,Female,60,ananya7@gmail.com,9344703907,Kolkata,West Bengal,2022-04-04,Gold
8,Vivaan Yadav,Male,47,vivaan8@gmail.com,9782560971,Mumbai,Maharashtra,2023-07-24,Gold
9,Priya Gupta,Female,59,priya9@gmail.com,9176667861,Mysuru,Karnataka,2023-07-01,Silver
10,Aditya Das,Male,35,aditya10@gmail.com,9787194506,Bengaluru,Karnataka,2024-02-17,Silver
11,Aarav Gupta,Male,38,aarav11@gmail.com,9530747414,Coimbatore,Tamil Nadu,2022-03-07,Regular
12,Prakash Das,Male,59,prakash12@gmail.com,9592688426,Coimbatore,Tamil Nadu,2024-03-21,Regular
13,Ananya Thakur,Female,45,ananya13@gmail.com,9726563708,Bengaluru,Karnataka,2025-04-12,Regular
14,Amit Das,Male,21,amit14@gmail.com,9217734861,Chennai,Tamil Nadu,2022-07-06,Regular
15,Sneha Singh,Female,42,sneha15@gmail.com,9739830322,Mysuru,Karnataka,2024-02-28,Platinum
16,Amit Kumar,Male,52,amit16@gmail.com,9906248900,Jodhpur,Rajasthan,2022-08-23,Regular
17,Ayushi Yadav,Female,47,ayushi17@gmail.com,9103484630,Kolkata,West Bengal,2022-11-20,Platinum
18,Amit Singh,Male,58,amit18@gmail.com,9645098869,Delhi,Delhi,2023-09-04,Silver
19,Aditya Kumar,Male,49,aditya19@gmail.com,9120912992,Mysuru,Karnataka,2023-10-26,Regular
20,Prakash Kumar,Male,54,prakash20@gmail.com,9184564737,Siliguri,West Bengal,2023-05-09,Regular
21,Amit Sharma,Male,60,amit21@gmail.com,9610330567,Hyderabad,Telangana,2022-09-20,Platinum
22,Amit Yadav,Male,52,amit22@gmail.com,9910959828,Mysuru,Karnataka,2023-03-10,Silver
23,Neha Verma,Female,51,neha23@gmail.com,9584779555,Coimbatore,Tamil Nadu,2024-06-16,Regular
24,Priya Kumar,Female,32,priya24@gmail.com,9731832764,Chennai,Tamil Nadu,2025-02-08,Regular
25,Prakash Singh,Male,39,prakash25@gmail.com,9176082500,Mumbai,Maharashtra,2022-03-06,Silver
26,Prakash Sharma,Male,54,prakash26@gmail.com,9607526654,Delhi,Delhi,2025-03-15,Regular
27,Prakash Singh,Male,60,prakash27@gmail.com,9562837684,Warangal,Telangana,2022-07-18,Regular
28,Ananya Kumar,Female,21,ananya28@gmail.com,9532311310,Kanpur,Uttar Pradesh,2022-07-21,Silver
29,Prakash Gupta,Male,46,prakash29@gmail.com,9250519597,Mumbai,Maharashtra,2025-01-03,Regular
30,Prakash Singh,Male,53,prakash30@gmail.com,9205128697,Delhi,Delhi,2024-06-26,Regular
31,Vivaan Gupta,Male,44,vivaan31@gmail.com,9621453189,Jaipur,Rajasthan,2022-12-07,Regular
32,Aditya Yadav,Male,42,aditya32@gmail.com,9384759615,Lucknow,Uttar Pradesh,2022-01-05,Gold
33,Neha Das,Female,30,neha33@gmail.com,9418587604,Warangal,Telangana,2022-11-14,Regular
34,Ananya Verma,Female,21,ananya34@gmail.com,9727255918,Patna,Bihar,2022-04-28,Regular
35,Aarav Singh,Male,22,aarav35@gmail.com,9738914080,Jaipur,Rajasthan,2023-01-16,Regular
36,Vivaan Gupta,Male,56,vivaan36@gmail.com,9142672287,Coimbatore,Tamil Nadu,2025-03-31,Silver
37,Ayushi Gupta,Female,33,ayushi37@gmail.com,9385201412,Kanpur,Uttar Pradesh,2023-10-06,Regular
38,Priya Singh,Female,47,priya38@gmail.com,9766964667,Delhi,Delhi,2022-01-20,Platinum
39,Amit Gupta,Male,34,amit39@gmail.com,9242224154,Mumbai,Maharashtra,2024-11-02,Platinum
40,Priya Thakur,Female,46,priya40@gmail.com,9995226828,Mumbai,Maharashtra,2022-11-20,Silver
41,Rohan Thakur,Male,26,rohan41@gmail.com,9383968123,Delhi,Delhi,2022-08-01,Regular
42,Ayushi Thakur,Female,39,ayushi42@gmail.com,9318610946,Mumbai,Maharashtra,2023-03-08,Silver
43,Ayushi Kumar,Female,58,ayushi43@gmail.com,9554811020,Delhi,Delhi,2022-07-09,Gold
44,Priya Sharma,Female,28,priya44@gmail.com,9895890631,Patna,Bihar,2023-06-21,Regular
45,Vivaan Singh,Male,52,vivaan45@gmail.com,9138684919,Lucknow,Uttar Pradesh,2022-11-02,Gold
46,Neha Sharma,Female,37,neha46@gmail.com,9491541578,Jaipur,Rajasthan,2022-03-27,Gold
47,Prakash Gupta,Male,40,prakash47@gmail.com,9937643439,Gaya,Bihar,2022-07-30,Silver
48,Prakash Sharma,Male,44,prakash48@gmail.com,9126614158,Lucknow,Uttar Pradesh,2022-12-29,Regular
49,Rohan Gupta,Male,28,rohan49@gmail.com,9945436943,Siliguri,West Bengal,2023-07-01,Silver
50,Rahul Gupta,Male,47,rahul50@gmail.com,9475442872,Lucknow,Uttar Pradesh,2023-02-13,Regular
51,Aarav Gupta,Male,39,aarav51@gmail.com,9399147754,Chennai,Tamil Nadu,2024-03-27,Gold
52,Rohan Yadav,Male,39,rohan52@gmail.com,9129635852,Delhi,Delhi,2025-01-03,Regular
53,Sneha Thakur,Female,24,sneha53@gmail.com,9740563507,Delhi,Delhi,2022-03-20,Regular
54,Sneha Singh,Female,54,sneha54@gmail.com,9304095531,Siliguri,West Bengal,2024-02-28,Regular
55,Amit Gupta,Male,45,amit55@gmail.com,9175133802,Lucknow,Uttar Pradesh,2024-01-16,Platinum
56,Rohan Singh,Male,50,rohan56@gmail.com,9432091877,Siliguri,West Bengal,2023-09-08,Silver
57,Ananya Thakur,Female,26,ananya57@gmail.com,9305986733,Siliguri,West Bengal,2025-02-09,Regular
58,Sneha Thakur,Female,53,sneha58@gmail.com,9995205588,Lucknow,Uttar Pradesh,2024-04-11,Regular
59,Neha Verma,Female,46,neha59@gmail.com,9574765466,Delhi,Delhi,2024-08-10,Silver
60,Ananya Sharma,Female,36,ananya60@gmail.com,9653462378,Jodhpur,Rajasthan,2022-06-23,Silver
61,Prakash Thakur,Male,30,prakash61@gmail.com,9258220114,Kolkata,West Bengal,2023-04-06,Regular
62,Sneha Singh,Female,44,sneha62@gmail.com,9776205431,Coimbatore,Tamil Nadu,2024-07-21,Silver
63,Neha Gupta,Female,59,neha63@gmail.com,9838328947,Kanpur,Uttar Pradesh,2022-10-30,Regular
64,Prakash Sharma,Male,47,prakash64@gmail.com,9153921577,Pune,Maharashtra,2024-11-26,Silver
65,Aditya Das,Male,53,aditya65@gmail.com,9739362057,Pune,Maharashtra,2024-12-23,Regular
66,Amit Das,Male,48,amit66@gmail.com,9583258726,Warangal,Telangana,2022-11-22,Regular
67,Amit Das,Male,35,amit67@gmail.com,9572309605,Coimbatore,Tamil Nadu,2023-05-05,Regular
68,Ayushi Verma,Female,52,ayushi68@gmail.com,9186519602,Delhi,Delhi,2023-10-17,Regular
69,Ananya Sharma,Female,22,ananya69@gmail.com,9545461013,Coimbatore,Tamil Nadu,2023-03-15,Regular
70,Neha Kumar,Female,44,neha70@gmail.com,9518197538,Jodhpur,Rajasthan,2023-02-28,Gold
71,Rahul Kumar,Male,37,rahul71@gmail.com,9909037759,Gaya,Bihar,2023-12-22,Regular
72,Rahul Gupta,Male,45,rahul72@gmail.com,9621454127,Lucknow,Uttar Pradesh,2023-07-13,Regular
73,Ananya Sharma,Female,26,ananya73@gmail.com,9768143326,Siliguri,West Bengal,2024-08-15,Silver
74,Vivaan Yadav,Male,47,vivaan74@gmail.com,9295130056,Lucknow,Uttar Pradesh,2022-10-05,Regular
75,Prakash Das,Male,39,prakash75@gmail.com,9917364173,Kanpur,Uttar Pradesh,2023-11-01,Gold
76,Ayushi Singh,Female,19,ayushi76@gmail.com,9904258674,Delhi,Delhi,2024-08-21,Silver
77,Rohan Singh,Male,19,rohan77@gmail.com,9365518424,Kolkata,West Bengal,2022-03-24,Regular
78,Prakash Sharma,Male,60,prakash78@gmail.com,9222824732,Patna,Bihar,2024-08-27,Silver
79,Ananya Thakur,Female,28,ananya79@gmail.com,9750572325,Coimbatore,Tamil Nadu,2024-01-26,Silver
80,Ayushi Singh,Female,19,ayushi80@gmail.com,9434961542,Mumbai,Maharashtra,2025-03-31,Silver
81,Ananya Gupta,Female,55,ananya81@gmail.com,9841541582,Kanpur,Uttar Pradesh,2022-06-05,Gold
82,Ananya Thakur,Female,54,ananya82@gmail.com,9940348305,Chennai,Tamil Nadu,2022-09-05,Regular
83,Rohan Verma,Male,50,rohan83@gmail.com,9795294275,Jodhpur,Rajasthan,2022-05-22,Regular
84,Vivaan Yadav,Male,58,vivaan84@gmail.com,9989817696,Kanpur,Uttar Pradesh,2024-01-12,Regular
85,Aditya Thakur,Male,48,aditya85@gmail.com,9599154414,Mysuru,Karnataka,2025-01-07,Regular
86,Prakash Singh,Male,46,prakash86@gmail.com,9361846370,Delhi,Delhi,2023-07-26,Gold
87,Aarav Das,Male,29,aarav87@gmail.com,9623502759,Kanpur,Uttar Pradesh,2023-10-28,Regular
88,Ayushi Thakur,Female,18,ayushi88@gmail.com,9654724287,Delhi,Delhi,2025-02-12,Platinum
89,Ananya Yadav,Female,53,ananya89@gmail.com,9914073098,Mumbai,Maharashtra,2024-09-27,Regular
90,Rahul Kumar,Male,36,rahul90@gmail.com,9337937327,Warangal,Telangana,2022-07-10,Regular
91,Rohan Verma,Male,53,rohan91@gmail.com,9670073085,Coimbatore,Tamil Nadu,2024-08-27,Regular
92,Priya Das,Female,37,priya92@gmail.com,9369942642,Jodhpur,Rajasthan,2023-07-09,Regular
93,Vivaan Sharma,Male,31,vivaan93@gmail.com,9893070706,Coimbatore,Tamil Nadu,2023-01-28,Regular
94,Vivaan Gupta,Male,32,vivaan94@gmail.com,9487493096,Jodhpur,Rajasthan,2023-08-30,Regular
95,Ayushi Kumar,Female,53,ayushi95@gmail.com,9413679331,Patna,Bihar,2022-04-22,Silver
96,Vivaan Kumar,Male,36,vivaan96@gmail.com,9604011128,Mysuru,Karnataka,2025-03-21,Regular
97,Aarav Thakur,Male,25,aarav97@gmail.com,9982739959,Kolkata,West Bengal,2024-09-05,Regular
98,Sneha Kumar,Female,27,sneha98@gmail.com,9970957171,Hyderabad,Telangana,2022-11-07,Silver
99,Prakash Singh,Male,44,prakash99@gmail.com,9751028618,Delhi,Delhi,2025-02-16,Silver
100,Rahul Das,Male,55,rahul100@gmail.com,9560452529,Coimbatore,Tamil Nadu,2023-09-01,Regular
101,Prakash Gupta,Male,60,prakash101@gmail.com,9187174381,Patna,Bihar,2023-06-26,Regular
102,Aditya Kumar,Male,46,aditya102@gmail.com,9840206617,Bengaluru,Karnataka,2024-04-16,Silver
103,Prakash Thakur,Male,47,prakash103@gmail.com,9176428684,Delhi,Delhi,2023-08-03,Silver
104,Neha Singh,Female,32,neha104@gmail.com,9795392488,Delhi,Delhi,2025-01-20,Regular
105,Vivaan Kumar,Male,37,vivaan105@gmail.com,9738923667,Delhi,Delhi,2022-12-06,Silver
106,Vivaan Das,Male,43,vivaan106@gmail.com,9392322121,Delhi,Delhi,2023-09-15,Silver
107,Vivaan Kumar,Male,38,vivaan107@gmail.com,9748232591,Warangal,Telangana,2024-06-03,Regular
108,Rohan Kumar,Male,54,rohan108@gmail.com,9143198431,Mumbai,Maharashtra,2023-07-06,Gold
109,Amit Das,Male,29,amit109@gmail.com,9728492896,Mysuru,Karnataka,2023-07-24,Regular
110,Rahul Verma,Male,39,rahul110@gmail.com,9444733679,Hyderabad,Telangana,2024-04-16,Silver
111,Neha Das,Female,60,neha111@gmail.com,9529982328,Mysuru,Karnataka,2023-08-14,Gold
112,Rahul Singh,Male,34,rahul112@gmail.com,9447112584,Jaipur,Rajasthan,2023-10-07,Regular
113,Rohan Das,Male,21,rohan113@gmail.com,9301415220,Lucknow,Uttar Pradesh,2024-04-26,Silver
114,Aarav Gupta,Male,53,aarav114@gmail.com,9240674381,Warangal,Telangana,2023-07-01,Gold
115,Vivaan Kumar,Male,28,vivaan115@gmail.com,9433665422,Warangal,Telangana,2023-05-06,Silver
116,Vivaan Gupta,Male,47,vivaan116@gmail.com,9226128312,Jodhpur,Rajasthan,2022-08-21,Silver
117,Ananya Thakur,Female,35,ananya117@gmail.com,9546129354,Mysuru,Karnataka,2024-11-08,Gold
118,Rahul Sharma,Male,30,rahul118@gmail.com,9743576792,Hyderabad,Telangana,2024-02-25,Silver
119,Ayushi Yadav,Female,50,ayushi119@gmail.com,9386874458,Bengaluru,Karnataka,2023-11-28,Gold
120,Sneha Das,Female,46,sneha120@gmail.com,9678296492,Delhi,Delhi,2022-11-01,Regular
121,Rahul Verma,Male,33,rahul121@gmail.com,9713963047,Siliguri,West Bengal,2023-01-22,Regular
122,Priya Das,Female,42,priya122@gmail.com,9812630453,Lucknow,Uttar Pradesh,2024-02-20,Gold
123,Aarav Sharma,Male,55,aarav123@gmail.com,9456476596,Mysuru,Karnataka,2024-10-25,Gold
124,Amit Das,Male,27,amit124@gmail.com,9540211187,Hyderabad,Telangana,2022-02-01,Gold
125,Rahul Thakur,Male,57,rahul125@gmail.com,9843785903,Bengaluru,Karnataka,2023-11-25,Regular
126,Rohan Yadav,Male,58,rohan126@gmail.com,9871716956,Pune,Maharashtra,2023-10-11,Gold
127,Sneha Singh,Female,58,sneha127@gmail.com,9834868441,Hyderabad,Telangana,2023-04-26,Gold
128,Neha Singh,Female,46,neha128@gmail.com,9278632824,Chennai,Tamil Nadu,2022-07-25,Silver
129,Priya Kumar,Female,40,priya129@gmail.com,9502482554,Patna,Bihar,2023-08-24,Regular
130,Sneha Sharma,Female,29,sneha130@gmail.com,9184791618,Coimbatore,Tamil Nadu,2022-12-15,Silver
131,Rahul Sharma,Male,47,rahul131@gmail.com,9784944881,Lucknow,Uttar Pradesh,2023-04-21,Regular
